Year,Album,Artist,Win
2020,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,1
2020,"I, I",Bon Iver,0
2020,Norman Fucking Rockwell!,Lana Del Rey,0
2020,"Thank U, Next",Ariana Grande,0
2020,I Used to Know Her,H.E.R.,0
2020,7,Lil Nas X,0
2020,Cuz I Love You (Deluxe),Lizzo,0
2020,Father of the Bride,Vampire Weekend,0
2010,Fearless,Taylor Swift,1
2010,Big Whiskey & the GrooGrux King,Dave Matthews Band,0
2010,The E.N.D.,The Black Eyed Peas,0
2010,The Fame,Lady Gaga,0
2010,I Am... Sasha Fierce,Beyoncé,0
2011,The Suburbs,Arcade Fire,1
2011,The Fame Monster,Lady Gaga,0
2011,Need You Now,Lady Antebellum,0
2011,Recovery,Eminem,0
2011,Teenage Dream,Katy Perry,0
2012,21,Adele,1
2012,Born This Way,Lady Gaga,0
2012,Doo-Wops & Hooligans,Bruno Mars,0
2012,Loud,Rihanna,0
2012,Wasting Light,Foo Fighters,0
2013,Babel,Mumford & Sons,1
2013,Blunderbuss,Jack White,0
2013,Channel Orange,Frank Ocean,0
2013,El Camino,The Black Keys,0
2013,Some Nights,Fun.,0
2014,Random Access Memories,Daft Punk,1
2014,The Blessed Unrest,Sara Bareilles,0
2014,"Good Kid, M.A.A.D City",Kendrick Lamar,0
2014,The Heist,Macklemore & Ryan Lewis,0
2014,Red,Taylor Swift,0
2015,Morning Phase,Beck,1
2015,Beyoncé,Beyoncé,0
2015,Girl,Pharrell Williams,0
2015,In the Lonely Hour,Sam Smith,0
2015,x,Ed Sheeran,0
2016,1989,Taylor Swift,1
2016,Beauty Behind the Madness,The Weeknd,0
2016,Sound & Color,Alabama Shakes,0
2016,To Pimp a Butterfly,Kendrick Lamar,0
2016,Traveller,Chris Stapleton,0
2017,25,Adele,1
2017,Lemonade,Beyoncé,0
2017,Purpose,Justin Bieber,0
2017,A Sailor's Guide to Earth,Sturgill Simpson,0
2017,Views,Drake,0
2018,24K Magic,Bruno Mars,1
2018,"""Awaken, My Love!""",Childish Gambino,0
2018,DAMN.,Kendrick Lamar,0
2018,4:44,Jay-Z,0
2018,Melodrama,Lorde,0
2019,Golden Hour,Kacey Musgraves,1
2019,Beerbongs & Bentleys,Post Malone,0
2019,"Black Panther: The Album, Music from and Inspired By",Various Artists,0
2019,"By the Way, I Forgive You",Brandi Carlile,0
2019,Dirty Computer,Janelle Monáe,0
2019,H.E.R.,H.E.R.,0
2019,Invasion of Privacy,Cardi B,0
2019,Scorpion,Drake,0
2000,Supernatural,Santana,1
2000,FanMail,TLC,0
2000,Fly,Dixie Chicks,0
2000,Millennium,Backstreet Boys,0
2000,When I Look in Your Eyes,Diana Krall,0
2001,Two Against Nature,Steely Dan,1
2001,Kid A,Radiohead,0
2001,The Marshall Mathers LP,Eminem,0
2001,Midnite Vultures,Beck,0
2001,You're the One,Paul Simon,0
2002,"O Brother, Where Art Thou? Soundtrack",Various Artists,1
2002,Acoustic Soul,India.Arie,0
2002,All That You Can't Leave Behind,U2,0
2002,Love and Theft,Bob Dylan,0
2002,Stankonia,OutKast,0
2003,Come Away with Me,Norah Jones,1
2003,The Eminem Show,Eminem,0
2003,Home,Dixie Chicks,0
2003,Nellyville,Nelly,0
2003,The Rising,Bruce Springsteen,0
2004,Speakerboxxx/The Love Below,OutKast,1
2004,Elephant,The White Stripes,0
2004,Fallen,Evanescence,0
2004,Justified,Justin Timberlake,0
2004,Under Construction,Missy Elliott,0
2005,Genius Loves Company,Ray Charles & Various Artists,1
2005,American Idiot,Green Day,0
2005,The College Dropout,Kanye West,0
2005,Confessions,Usher,0
2005,The Diary of Alicia Keys,Alicia Keys,0
2006,How to Dismantle an Atomic Bomb,U2,1
2006,Chaos and Creation in the Backyard,Paul McCartney,0
2006,The Emancipation of Mimi,Mariah Carey,0
2006,Late Registration,Kanye West,0
2006,Love. Angel. Music. Baby.,Gwen Stefani,0
2007,Taking the Long Way,Dixie Chicks,1
2007,Continuum,John Mayer,0
2007,FutureSex/LoveSounds,Justin Timberlake,0
2007,St. Elsewhere,Gnarls Barkley,0
